ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000029644-24-000078	2528204	Employee Stock Option (right to buy)		45.43		02-JUL-2024				4	M	0				37600.0				0.0		D			F1	22-SEP-2027		Common Stock		37600.0				0.0				D			
0001127602-24-019991	2528188	Phantom Stock			F1	02-JUL-2024				4	A	0				399.76	F1			48.53		A			F1		F1	Common Stock		399.76				3669.09				D			
0001127602-24-019991	2528187	Phantom Stock			F1	02-JUL-2024				4	A	0				173.61	F1			48.53		A			F1		F1	Common Stock		173.61				3269.33				D			
0001127602-24-019990	2529211	Phantom Stock			F1	02-JUL-2024				4	A	0				389.29	F1			48.53		A			F1		F1	Common Stock		389.29				8825.12				D			
0001750155-24-000054	2528933	Restricted Stock Unit			F1	01-JUL-2024				4	A	0				85000.0				0.0		A			F2		F2	Common Shares		85000.0				85000.0				D			
0001750155-24-000052	2529172	Restricted Stock Unit			F1	01-JUL-2024				4	A	0				75000.0				0.0		A			F2		F2	Common Shares		75000.0				75000.0				D			
0001750155-24-000050	2529157	Restricted Stock Unit			F1	01-JUL-2024				4	A	0				75000.0				0.0		A			F2		F2	Common Shares		75000.0				75000.0				D			
0001022321-24-000063	2528524	Phantom Units			F2	03-JUL-2024				4	M	0				3096.0					F2	D		03-JUL-2024		03-JUL-2024		Common Units - Class A		3096.0				8144.0				D			
0001022321-24-000063	2528525	Phantom Units			F5, F6	01-JUL-2024				4	A	0				2584.0					F5, F6	A		01-JUL-2025		01-JUL-2025		Commom Units - Class A		2584.0				10728.0				D			
0001022321-24-000062	2528403	Phantom Units			F2	03-JUL-2024				4	M	0				3418.0					F2	D		03-JUL-2024		03-JUL-2024		Common Units - Class A		3418.0				8993.0				D			
