ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000950170-24-110527	1671465	Performance Share Units (2023)			F4				F6		F6	Class A Common Stock		3844.0								D			
0000950170-24-110527	1671464	Performance Share Units (2022)			F4				F5		F5	Class A Common Stock		6310.0								D			
0000950170-24-110527	1671463	Performance Share Units (2021)			F4				F3		F3	Class A Common Stock		4136.0								D			
0000950170-24-110527	1671462	Employee Stock Option (right to buy)		56.25					F2	08-JUN-2027		Class A Common Stock		800.0								D			
0000950170-24-110527	1671461	Employee Stock Option (right to buy)		48.75					F2	07-JUN-2028		Class A Common Stock		250.0								D			
0000950170-24-110527	1671460	Employee Stock Option (right to buy)		7.85					F2	13-JUN-2029		Class A Common Stock		1200.0								D			
0000950170-24-110527	1671466	Performance Share Units (2024)			F4				F7		F7	Class A Common Stock		1176.0	F8							D			
0000950170-24-110526	1671421	Performance Share Units (2023)			F9				F11		F11	Class A Common Stock	F8	12348.0								D			
0000950170-24-110526	1671422	Performance Share Units (2024)			F9				F12		F12	Class A Common Stock	F8	4616.0	F13							D			
0000950170-24-110526	1671420	Performance Share Units (2022)			F9				F10		F10	Class A Common Stock	F8	13520.0								D			
0000950170-24-110526	1671419	Performance Share Units (2021)			F9				F7		F7	Class A Common Stock	F8	8864.0								D			
0000950170-24-110526	1671418	Option to purchase Class B Common Stock		56.25					F5	08-JUN-2027		Class A Common Stock	F6	600.0								D			
0000950170-24-110526	1671417	Option to purchase Class B Common Stock		48.75					F5	07-JUN-2028		Class A Common Stock	F6	800.0								D			
0000950170-24-110526	1671416	Option to purchase Class B Common Stock		45.25					F5	24-JUL-2026		Class A Common Stock	F6	1200.0								D			
0000950170-24-110526	1671415	Option to purchase Class B Common Stock		7.85					F5	13-JUN-2029		Class A Common Stock	F6	1000.0								D			
0000950170-24-110526	1671413	Class B Common Stock			F2				F2		F3	Class A Common Stock		20760.0	F4							D		Held by Hovnanian Family 2021 trusts	
0000950170-24-110526	1671414	Class B Common Stock			F2				F2		F3	Class A Common Stock		82404.0	F1							I			
0001415889-24-024109	1671782	Stock Option (right to buy)		0.8					F3	21-NOV-2031		Common Stock		100100.0								I		MRCF BTF Service (BCPIT) Pty Ltd as trustee for the MRCF BTF (BCP Investment) Trust	F4
0001415889-24-024109	1671783	Stock Option (right to buy)		0.44					F5	03-APR-2033		Common Stock		182159.0								I		MRCF BTF Service (BCPIT) Pty Ltd as trustee for the MRCF BTF (BCP Investment) Trust	F4
0001415889-24-024109	1671784	Stock Option (right to buy)		0.55					F6	20-MAR-2034		Common Stock		163637.0								I		MRCF BTF Service (BCPIT) Pty Ltd as trustee for the MRCF BTF (BCP Investment) Trust	F4
0001415889-24-024108	1671889	Stock Option (right to buy)		0.55					F6	20-MAR-2034		Common Stock		1590000.0								D			
0001415889-24-024108	1671884	Stock Option (right to buy)		0.14					F1	12-NOV-2029		Common Stock		5996154.0								D			
0001415889-24-024108	1671885	Stock Option (right to buy)		0.12					F2	27-OCT-2030		Common Stock		1025000.0								D			
0001415889-24-024108	1671888	Stock Option (right to buy)		0.44					F5	03-APR-2033		Common Stock		675000.0								D			
0001415889-24-024108	1671887	Stock Option (right to buy)		0.8					F4	21-NOV-2031		Common Stock		304719.0								D			
0001415889-24-024108	1671886	Stock Option (right to buy)		0.12					F3	27-JAN-2031		Common Stock		1185184.0								D			
0001415889-24-024107	1671670	Stock Option (right to buy)		0.55					F3	20-MAR-2034		Common Stock		163637.0								D			
0001415889-24-024107	1671669	Stock Option (right to buy)		0.44					F2	03-APR-2033		Common Stock		182159.0								D			
0001415889-24-024107	1671668	Stock Option (right to buy)		0.8					F1	21-NOV-2031		Common Stock		100100.0								D			
0001415889-24-024106	1671197	Stock Option (right to buy)		0.66					F2	21-MAY-2033		Common Stock		150000.0								D			
0001415889-24-024106	1671198	Stock Option (right to buy)		0.77					F3	17-JUL-2034		Common Stock		250000.0								D			
0001415889-24-024106	1671196	Stock Option (right to buy)		0.49					F1	23-FEB-2032		Common Stock		1600000.0								D			
0001415889-24-024105	1671366	Warrant (right to buy)		0.41				30-OCT-2017		30-OCT-2027		Common Stock		854018.0								I		By M. H. Carnegie & Co. Pty Ltd	
0001415889-24-024105	1671365	Stock Option (right to buy)		0.55					F3	20-MAR-2034		Common Stock		163637.0								D			
0001415889-24-024105	1671363	Stock Option (right to buy)		0.8					F1	21-NOV-2031		Common Stock		100100.0								I		By the Australian Medtech Services Pty Ltd	
0001415889-24-024105	1671364	Stock Option (right to buy)		0.44					F2	03-APR-2033		Common Stock		182159.0								D			
0001415889-24-024104	1672188	Warrant (right to buy)		0.59				12-FEB-2021		12-FEB-2031		Common Stock		25528.0								I		By the Allan R. Will Trust U/A Dtd 6/14/2012	
0001415889-24-024104	1672186	Warrant (right to buy)		0.59				26-AUG-2019		26-AUG-2029		Common Stock		63820.0								I		By the Allan R. Will Trust U/A Dtd 6/14/2012	
0001415889-24-024104	1672189	Warrant (right to buy)		0.59				25-JUN-2021		25-JUN-2031		Common Stock		48422.0								I		By the Allan R. Will Trust U/A Dtd 6/14/2012	
0001415889-24-024104	1672185	Stock Option (right to buy)		0.55					F5	20-MAR-2034		Common Stock		163637.0								D			
0001415889-24-024104	1672190	Warrant (right to buy)		0.59				04-OCT-2021		04-OCT-2031		Common Stock		48422.0								I		By the Allan R. Will Trust U/A Dtd 6/14/2012	
0001415889-24-024104	1672183	Stock Option (right to buy)		0.8					F3	21-NOV-2031		Common Stock		171121.0								D			
0001415889-24-024104	1672182	Stock Option (right to buy)		0.16					F2	08-JAN-2028		Common Stock		58500.0								D			
0001415889-24-024104	1672181	Stock Option (right to buy)		0.14					F2	12-NOV-2029		Common Stock		2305564.0								D			
0001415889-24-024104	1672187	Warrant (right to buy)		0.59				13-MAR-2020		13-MAR-2030		Common Stock		63820.0								I		By the Allan R. Will Trust U/A Dtd 6/14/2012	
0001415889-24-024104	1672184	Stock Option (right to buy)		0.44					F4	03-APR-2033		Common Stock		182159.0								D			
0001415889-24-024103	1672117	Stock Option (right to buy)		0.55					F3	20-MAR-2034		Common Stock		163637.0								I		By the David M. Steinhaus Revocable Trust dated January 20, 2004, as amended and restated	
0001415889-24-024103	1672116	Stock Option (right to buy)		0.44					F2	03-APR-2033		Common Stock		182159.0								I		By the David M. Steinhaus Revocable Trust dated January 20, 2004, as amended and restated	
0001415889-24-024103	1672115	Stock Option (right to buy)		0.8					F1	21-NOV-2031		Common Stock		100100.0								I		By the David M. Steinhaus Revocable Trust dated January 20, 2004, as amended and restated	
0001415889-24-024102	1671769	Stock Option (right to buy)		0.44					F3	03-APR-2033		Common Stock		182159.0								D			
0001415889-24-024102	1671768	Stock Option (right to buy)		0.8					F2	21-NOV-2031		Common Stock		100100.0								D			
0001415889-24-024102	1671770	Stock Option (right to buy)		0.55					F4	20-MAR-2034		Common Stock		163637.0								I		By Bronwyn Evans and Peter Douglas Gordon	
0001415889-24-024101	1672268	Stock Option (right to buy)		0.77					F2	17-JUL-2034		Common Stock		250000.0								D			
0001415889-24-024101	1672267	Stock Option (right to buy)		0.54					F1	13-SEP-2033		Common Stock		3618062.0								D			
0001601830-24-000161	1671651	Stock Option (Right to Buy)		10.09					F7	09-FEB-2034		Class A Common Stock		0.0				447917.0				D			
0001601830-24-000161	1671650	Stock Option (Right to Buy)		2.48					F6	30-DEC-2030		Class A Common Stock		0.0				150000.0				D			
0001601830-24-000161	1671648	Stock Option (Right to Buy)		11.4					F5	04-FEB-2032		Class A Common Stock		0.0				159226.0				D			
0001601830-24-000161	1671647	Stock Option (Right to Buy)		8.55					F4	01-FEB-2033		Class A Common Stock		0.0				434122.0				D			
0001601830-24-000161	1671649	Stock Option (Right to Buy)		11.4				04-FEB-2022		04-FEB-2032		Class A Common Stock		0.0				4784.0				D			
0001664272-24-000343	1671667	Phantom Units		0.0					F1		F2	Common Units		3673.0								D			
0000950170-24-110413	1671908	Performance Stock Units			F3				F3	16-MAR-2025		Common Stock		7523.0								D			
0000950170-24-110413	1671909	Restricted Stock Units			F2				F4		F4	Common Stock		3209.0								D			
0000950170-24-110413	1671911	Restricted Stock Units			F2				F6		F6	Common Stock		5411.0								D			
0000950170-24-110413	1671912	Performance Stock Units			F7				F7	16-MAR-2027		Common Stock		8117.0								D			
0000950170-24-110413	1671907	Restricted Stock Units			F2				F1		F1	Common Stock		1672.0								D			
0000950170-24-110413	1671910	Performance Stock Units			F5				F5	16-MAR-2026		Common Stock		7220.0								D			
0001569187-24-000147	1671228	Common Units			F2, F3				F2, F3		F2, F3	Common Stock		279.0				279.0				I			
0001569187-24-000147	1671229	LTIP Units			F3, F5				F3, F5		F3, F5	Common Stock		16805.0				16805.0				D			
0001569187-24-000147	1671227	Common Units			F2, F3				F2, F3		F2, F3	Common Stock		4976439.0				4976439.0				D		By Limited Partnership	F4
0001569187-24-000146	1672122	Common Units			F2				F2		F2	Common Stock		2108918.0				2108918.0				D			
0001569187-24-000145	1672114	LTIP Units			F2, F3				F2, F3		F2, F3	Common Stock		4981.0				4981.0				D			
0001569187-24-000144	1672121	LTIP Units			F2, F3				F2, F3		F2, F3	Common Stock		9626.0				9626.0				D			
0001562180-24-006988	1671267	Class B Common Stock			F10				F10		F10	Class A Common Stock		500500.0				500500.0				I		See footnote	F11
0001562180-24-006988	1671266	Class B Common Stock			F10				F10		F10	Class A Common Stock		7743764.0				7743764.0				I		See footnote	F9
0001569187-24-000143	1672079	LTIP Units			F2, F3				F2, F3		F2, F3	Common Stock		9626.0				9626.0				D			
0001569187-24-000142	1671315	Common Units			F3, F4				F3, F4		F3, F4	Common Stock		39347.0				39347.0				I		By Limited Partnership	F5
0001569187-24-000142	1671316	Common Units			F3, F4				F3, F4		F3, F4	Common Stock		91.0				91.0				I			
0001569187-24-000142	1671314	Common Units			F3, F4				F3, F4		F3, F4	Common Stock		1142394.0				1142394.0				D		By Spouse	F2
0001569187-24-000142	1671317	LTIP Units			F6, F4				F6, F4		F6, F4	Common Stock		9626.0				9626.0				D			
0001569187-24-000141	1671203	LTIP Units			F2, F3				F2, F3		F2, F3	Common Stock		9626.0				9626.0				D			
0001411690-24-000055	1671899	Stock Option (Right to Buy)		42.5					F1	28-FEB-2029		Common Stock		584.0								D			
0001411690-24-000055	1671898	Stock Option (Right to Buy)		77.7					F1	30-SEP-2028		Common Stock		1200.0								D			
0001411690-24-000055	1671900	Stock Option (Right to Buy)		10.4					F1	17-FEB-2030		Common Stock		753.0								D			
0001411690-24-000055	1671905	Stock Option (Right to Buy)		0.93					F3	02-JUN-2034		Common Stock		17500.0								D			
0001411690-24-000055	1671904	Stock Option (Right to Buy)		0.93					F2	02-JUN-2034		Common Stock		8750.0								D			
0001411690-24-000055	1671903	Stock Option (Right to Buy)		16.3					F2	14-FEB-2033		Common Stock		6899.0								D			
0001411690-24-000055	1671901	Stock Option (Right to Buy)		78.3					F2	31-MAR-2031		Common Stock		4999.0								D			
0001411690-24-000055	1671902	Stock Option (Right to Buy)		21.8					F2	14-FEB-2032		Common Stock		8750.0								D			
0001553350-24-000137	1671521	Non-Qualified Stock Option (right to buy)		7.09					F6	21-MAR-2032		Common Stock		11788.0								D			
0001553350-24-000137	1671523	Non-Qualified Stock Option (right to buy)		0.48					F8	17-MAR-2033		Common Stock		31903.0								D			
0001553350-24-000137	1671522	Non-Qualified Stock Option (right to buy)		1.87					F7	17-NOV-2032		Common Stock		6747.0								D			
0001553350-24-000137	1671524	Non-Qualified Stock Option (right to buy)		2.0					F9	21-MAY-2034		Common Stock		38956.0								D			
0001883085-24-000143	1672062	Restricted Stock Unit		0.0					F2		F2	Class A Ordinary Share		833.0								D			
0001883085-24-000143	1672063	Restricted Stock Unit		0.0					F3		F3	Class A Ordinary Share		5122.0								D			
0001883085-24-000143	1672061	Restricted Stock Unit		0.0					F1		F1	Class A Ordinary Share		2282.0								D			
0001225208-24-008871	1672092	Employee Stock Option (Right-to-Buy)		43.48				17-MAY-2017	F4	17-MAY-2026		Common Stock		16672.0				16672.0				D			
0001225208-24-008871	1672093	Employee Stock Option (Right-to-Buy)		45.05				24-JAN-2020	F4	24-JAN-2029		Common Stock		41208.0				41208.0				D			
0001225208-24-008871	1672094	Employee Stock Option (Right-to-Buy)		48.35				24-JAN-2021	F4	24-JAN-2030		Common Stock		48309.0				48309.0				D			
0001225208-24-008871	1672095	Employee Stock Option (Right-to-Buy)		50.1				26-JAN-2018	F4	26-JAN-2027		Common Stock		23696.0				23696.0				D			
0001225208-24-008871	1672096	Employee Stock Option (Right-to-Buy)		51.89				27-JAN-2022	F4	27-JAN-2031		Common Stock		38376.0				38376.0				D			
0001225208-24-008871	1672103	Restricted Stock Units		0.0	F6			26-JAN-2025	F7	26-JAN-2027		Common Stock		4176.41				4176.41	F8			D			
0001225208-24-008871	1672098	Employee Stock Option (Right-to-Buy)		68.17				24-JAN-2024	F5	24-JAN-2033		Common Stock		22312.0				22312.0				D			
0001225208-24-008871	1672099	Employee Stock Option (Right-to-Buy)		72.94				24-JAN-2023	F5	24-JAN-2032		Common Stock		21997.0				21997.0				D			
0001225208-24-008871	1672100	Employee Stock Option (Right-to-Buy)		77.72				26-JAN-2025	F5	26-JAN-2034		Common Stock		24774.0				24774.0				D			
0001225208-24-008871	1672101	Restricted Stock Units		0.0	F6			24-JAN-2023	F7	24-JAN-2025		Common Stock		1120.17				1120.17	F8			D			
0001225208-24-008871	1672102	Restricted Stock Units		0.0	F6			24-JAN-2024	F7	24-JAN-2026		Common Stock		2516.41				2516.41	F8			D			
0001225208-24-008871	1672097	Employee Stock Option (Right-to-Buy)		53.57				25-JAN-2019	F4	25-JAN-2028		Common Stock		21834.0				21834.0				D			
0001225208-24-008870	1671543	Restricted Stock Units		0.0	F7			24-JAN-2024	F8	24-JAN-2026		Common Stock		1210.96				1210.96	F9			D			
0001225208-24-008870	1671544	Restricted Stock Units		0.0	F7			26-JAN-2025	F8	26-JAN-2027		Common Stock		1673.79				1673.79	F9			D			
0001225208-24-008870	1671542	Restricted Stock Units		0.0	F7			24-JAN-2023	F8	24-JAN-2025		Common Stock		593.12				593.12	F9			D			
0001225208-24-008870	1671541	Employee Stock Option (Right-to-Buy)		77.72				26-JAN-2025	F6	26-JAN-2034		Common Stock		9928.0				9928.0				D			
0001225208-24-008870	1671540	Employee Stock Option (Right-to-Buy)		72.94				24-JAN-2023	F6	24-JAN-2032		Common Stock		11636.0				11636.0				D			
0001225208-24-008870	1671539	Employee Stock Option (Right-to-Buy)		68.17				24-JAN-2024	F6	24-JAN-2033		Common Stock		10730.0				10730.0				D			
0001225208-24-008870	1671538	Employee Stock Option (Right-to-Buy)		53.57				25-JAN-2019	F5	25-JAN-2028		Common Stock		21834.0				21834.0				D			
0001225208-24-008870	1671537	Employee Stock Option (Right-to-Buy)		51.89				27-JAN-2022	F5	27-JAN-2031		Common Stock		19520.0				19520.0				D			
0001062993-24-017053	1671936	Phantom Stock Units	F12		F12				F12		F12	Humana Common		24.0				24.0				I			
0001062993-24-017053	1671935	Restricted Stock Units	F8		F8				F10		F10	Humana Common		639.0				639.0				D			
0001062993-24-017053	1671934	Restricted Stock Units	F8		F8				F9		F9	Humana Common		345.0				345.0				D			
0001062993-24-017053	1671933	Options	F7	367.21					F7	21-FEB-2031		Humana Common		5389.0				5389.0				D			
0001062993-24-017053	1671928	Options	F2	307.97					F2	25-FEB-2026		Humana Common		324.0				324.0				D		See Footnote	F12
0001062993-24-017053	1671931	Options	F5	425.06					F5	21-FEB-2029		Humana Common		3750.0				3750.0				D			
0001062993-24-017053	1671930	Options	F4	376.61					F4	22-FEB-2028		Humana Common		4807.0				4807.0				D			
0001062993-24-017053	1671929	Options	F3	350.79					F3	24-FEB-2027		Humana Common		2149.0				2149.0				D			
0001062993-24-017053	1671932	Options	F6	510.24					F6	24-FEB-2030		Humana Common		3698.0				3698.0				D			
0001818874-24-000220	1669894	Restricted Stock Unit			F2				F1		F1	Common Stock		891694.0								D			
0001628280-24-041514	1670590	Restricted Stock Units			F3				F4		F4	Common Stock		3810.0				3810.0				D			
0000950170-24-110110	1669916	Class A Units			F11				F11		F11	Class A Common Stock		14792526.0				14792526.0				I		Ernest Irrevocable 2004 Trust III	
0000950170-24-110110	1669917	Class A Units			F12				F12		F12	Class A Common Stock		14940000.0				14940000.0				I		Ernest C. Garcia III Multi-Generational Trust III	
0000950170-24-110110	1669918	Class A Units			F13				F13		F13	Class A Common Stock		10000000.0				10000000.0				I		ECG II SPE, LLC	
0001213900-24-082813	1669893	Stock Option (Right to Purchase Common Stock)		8.1					F9	01-OCT-2025		Common Stock		26667.0				26667.0				D			
0001213900-24-082813	1669892	Stock Option (Right to Purchase Common Stock)		3.45					F9	13-SEP-2027		Common Stock		40000.0				40000.0				D			
0001213900-24-082813	1669891	Stock Option (Right to Purchase Common Stock)		1.62					F9	04-SEP-2028		Common Stock		150000.0				150000.0				D			
0001213900-24-082813	1669890	Stock Option (Right to Purchase Common Stock)		0.67					F9	08-OCT-2029		Common Stock		175000.0				175000.0				D			
0001213900-24-082813	1669889	Stock Option (Right to Purchase Common Stock)		1.01					F9	06-OCT-2030		Common Stock		200000.0				200000.0				D			
0001213900-24-082813	1669888	Stock Option (Right to Purchase Common Stock)		2.0					F7	22-JUL-2031		Common Stock		10000.0				10000.0				I			
0001213900-24-082813	1669887	Stock Option (Right to Purchase Common Stock)		2.0					F8	22-JUL-2031		Common Stock		300000.0				300000.0				D			
0001213900-24-082813	1669886	Stock Option (Right to Purchase Common Stock)		2.04					F7	11-OCT-2031		Common Stock		15000.0				15000.0				I			
0001213900-24-082813	1669885	Stock Option (Right to Purchase Common Stock)		2.04					F6	11-OCT-2031		Common Stock		650000.0				650000.0				D			
0001213900-24-082813	1669884	Stock Option (Right to Purchase Common Stock)		1.25					F5	04-OCT-2032		Common Stock		400000.0				400000.0				D			
0001213900-24-082813	1669883	Stock Option (Right to Purchase Common Stock)		0.7					F4	10-OCT-2033		Common Stock		400000.0				400000.0				D		See footnote	F7
0001213900-24-082813	1669882	Warrant to Purchase Common Stock	F3	1.42					F3	05-APR-2025		Common Stock		129450.0				129450.0				D		See footnote	F7
0001213900-24-082812	1670625	Stock Option (Right to Purchase Common Stock)		3.45					F7	13-SEP-2027		Common Stock		40000.0				40000.0				D			
0001213900-24-082812	1670619	Stock Option (Right to Purchase Common Stock)		1.25					F5	04-OCT-2032		Common Stock		550000.0				550000.0				D			
0001213900-24-082812	1670620	Stock Option (Right to Purchase Common Stock)		2.04					F6	11-OCT-2031		Common Stock		650000.0				650000.0				D			
0001213900-24-082812	1670618	Stock Option (Right to Purchase Common Stock)		0.7					F4	10-OCT-2033		Common Stock		550000.0				550000.0				D			
0001213900-24-082812	1670624	Stock Option (Right to Purchase Common Stock)		1.62					F7	04-SEP-2028		Common Stock		150000.0				150000.0				D			
0001213900-24-082812	1670621	Stock Option (Right to Purchase Common Stock)		2.0					F7	22-JUL-2031		Common Stock		300000.0				300000.0				D			
0001213900-24-082812	1670622	Stock Option (Right to Purchase Common Stock)		1.01					F7	06-OCT-2030		Common Stock		200000.0				200000.0				D			
0001213900-24-082812	1670623	Stock Option (Right to Purchase Common Stock)		0.67					F7	08-OCT-2029		Common Stock		175000.0				175000.0				D			
0001213900-24-082812	1670617	Warrant to Purchase Common Stock	F3	1.42					F3	05-APR-2025		Common Stock		1165048.0				1165048.0				D			
0001553350-24-000121	1670831	Stock Option		0.03					F4	06-DEC-2028		Common Stock		27600000.0				27600000.0				D			
0001553350-24-000121	1670832	Stock Option		0.03					F4	06-DEC-2028		Common Stock		4750000.0				4750000.0				D			
0000063908-24-000140	1670896	Phantom Stock			F2				F3		F3	Common Stock		4830.43	F4			4830.43	F4			I		Non-Qualified Benefit Plan	
0000752642-24-000099	1670950	UMH Properties, Inc.		14.36				21-MAR-2024		21-MAR-2033		UMH Properties, Inc.		29500.0				29500.0				D			
0000752642-24-000099	1670951	UMH Properties, Inc.		13.09				02-APR-2019		02-APR-2028		UMH Properties, Inc.		50000.0				50000.0				D			
0000752642-24-000099	1670952	UMH Properties, Inc.		15.04				04-APR-2018		04-APR-2027		UMH Properties, Inc.		50000.0				50000.0				D			
0000752642-24-000099	1670953	UMH Properties, Inc.		14.25				19-JAN-2018		19-JAN-2027		UMH Properties, Inc.		50000.0				50000.0				D			
0000929638-24-003344	1670286	Warrant to purchase Common Stock		11.5					F4		F4	Common Stock		937350.0				937350.0				D			
0001477449-24-000212	1669914	Restricted Stock Units			F3				F5		F5	Common Stock		54675.0								D			
0001477449-24-000212	1669915	Performance Stock Units			F7				F6		F6	Common Stock		6341.0								D			
0001477449-24-000212	1669911	Employee Stock Option (right to buy)		32.62					F1	31-MAY-2032		Common Stock		47025.0								D			
0001477449-24-000212	1669912	Restricted Stock Units			F3				F2		F2	Common Stock		2246.0								D			
0001477449-24-000212	1669913	Restricted Stock Units			F3				F4		F4	Common Stock		18602.0								D			
0001477449-24-000211	1670382	Restricted Stock Units			F3				F6		F6	Common Stock		58300.0								D			
0001477449-24-000211	1670381	Restricted Stock Units			F3				F5		F5	Common Stock		20928.0								D			
0001477449-24-000211	1670380	Restricted Stock Units			F3				F4		F4	Common Stock		2808.0								D			
0001477449-24-000211	1670383	Performance Stock Units			F8				F7		F7	Common Stock		7131.0								D			
0001477449-24-000211	1670378	Employee Stock Option (right to buy)		32.62					F1	31-MAY-2032		Common Stock		58782.0								D			
0001477449-24-000211	1670379	Restricted Stock Units			F3				F2		F2	Common Stock		2631.0								D			
0001477449-24-000210	1670973	Restricted Stock Units			F3				F4		F4	Common Stock		12500.0								D			
0001477449-24-000210	1670972	Restricted Stock Units			F3				F2		F2	Common Stock		65894.0								D			
0001477449-24-000210	1670971	Employee Stock Option (right to buy)		18.97					F1	30-NOV-2033		Common Stock		70249.0								D			
0000752642-24-000097	1670749	UMH Properties, Inc.		13.09				02-APR-2019		02-APR-2028		UMH Properties, Inc.		1000.0				1000.0				D			
0000752642-24-000097	1670748	UMH Properties, Inc.		15.75				09-JUL-2019		09-JUL-2028		UMH Properties, Inc.		10000.0				10000.0				D			
0000752642-24-000097	1670747	UMH Properties, Inc.		12.94				10-DEC-2019		10-DEC-2028		UMH Properties, Inc.		25000.0				25000.0				D			
0000752642-24-000097	1670744	UMH Properties, Inc.		22.57				14-JUL-2022		14-JUL-2031		UMH Properties, Inc.		100000.0				100000.0				D			
0000752642-24-000097	1670745	UMH Properties, Inc.		9.7				25-MAR-2021		25-MAR-2030		UMH Properties, Inc.		71760.0				71760.0				D			
0000752642-24-000097	1670746	UMH Properties, Inc.		13.9				02-APR-2020		02-APR-2029		UMH Properties, Inc.		100000.0				100000.0				D			
0000752642-24-000097	1670742	UMH Properties, Inc.		14.36				21-MAR-2024		21-MAR-2033		UMH Properties, Inc.		75000.0				75000.0				D			
0000752642-24-000097	1670743	UMH Properties, Inc.		23.81				08-FEB-2023		28-MAR-2032		UMH Properties, Inc.		78100.0				78100.0				D			
0000752642-24-000097	1670741	UMH Properties, Inc.		15.66				26-MAR-2025		26-MAR-2034		UMH Properties, Inc.		75000.0				75000.0				D			
0000752642-24-000096	1671030	UMH Properties, Inc.		9.7				25-MAR-2021		25-MAR-2030		UMH Properties, Inc.		50000.0				50000.0				D			
0000752642-24-000096	1671029	UMH Properties, Inc.		22.57				14-JUL-2022		14-JUL-2031		UMH Properties, Inc.		50000.0				50000.0				D			
0000752642-24-000096	1671028	UMH Properties, Inc.		23.81				28-MAR-2023		28-MAR-2032		UMH Properties, Inc.		39000.0				39000.0				D			
0000752642-24-000096	1671027	UMH Properties, Inc.		14.36				21-MAR-2024		21-MAR-2033		UMH Properties, Inc.		75000.0				75000.0				D			
0000752642-24-000096	1671026	UMH Properties, Inc.		15.66				26-MAR-2024		26-MAR-2034		UMH Properties, Inc.		50000.0				50000.0				D			
0000752642-24-000096	1671033	UMH Properties, Inc.		15.04				04-APR-2018		04-APR-2027		UMH Properties, Inc.		20000.0				20000.0				D			
0000752642-24-000096	1671032	UMH Properties, Inc.		13.09				02-APR-2019		02-APR-2028		UMH Properties, Inc.		20000.0				20000.0				D			
0000752642-24-000096	1671031	UMH Properties, Inc.		11.42				02-JAN-2020		02-JAN-2029		UMH Properties, Inc.		40000.0				40000.0				D			
0000752642-24-000095	1670598	UMH Properties, Inc.		15.04				04-APR-2018		04-APR-2027		UMH Properties, Inc.		20000.0				20000.0				D			
0000752642-24-000095	1670597	UMH Properties, Inc.		13.09				02-APR-2019		02-APR-2028		UMH Properties, Inc.		20000.0				20000.0				D			
0000752642-24-000095	1670596	UMH Properties, Inc.		11.42				02-JAN-2020		02-JAN-2029		UMH Properties, Inc.		20000.0				20000.0				D			
0000752642-24-000095	1670595	UMH Properties, Inc.		9.7				25-MAR-2021		25-MAR-2030		UMH Properties, Inc.		30000.0				30000.0				D			
0000752642-24-000095	1670594	UMH Properties, Inc.		22.57				14-JUL-2022		14-JUL-2031		UMH Properties, Inc.		50000.0				50000.0				D			
0000752642-24-000095	1670592	UMH Properties, Inc.		14.36				21-MAR-2024		21-MAR-2033		UMH Properties, Inc.		75000.0				75000.0				D			
0000752642-24-000095	1670591	UMH Properties, Inc.		15.66				26-MAR-2025		26-MAR-2034		UMH Properties, Inc.		50000.0				50000.0				D			
0000752642-24-000095	1670593	UMH Properties, Inc.		23.81				28-MAR-2023		28-MAR-2032		UMH Properties, Inc.		39000.0				39000.0				D			
0000752642-24-000094	1670435	UMH Properties, Inc.		13.9				02-APR-2020		02-APR-2029		UMH Properties, Inc.		50000.0				50000.0				D			
0000752642-24-000094	1670436	UMH Properties, Inc.		15.04				04-APR-2018		04-APR-2027		UMH Properties, Inc.		50000.0				50000.0				D			
0000752642-24-000094	1670437	UMH Properties, Inc.		14.25				19-JAN-2018		19-JAN-2027		UMH Properties, Inc.		10000.0				10000.0				D			
0000752642-24-000094	1670433	UMH Properties, Inc.		22.57				14-JUL-2022		14-JUL-2031		UMH Properties, Inc.		50000.0				50000.0				D			
0000752642-24-000094	1670432	UMH Properties, Inc.		23.81				28-MAR-2023		28-MAR-2032		UMH Properties, Inc.		39000.0				39000.0				D			
0000752642-24-000094	1670431	UMH Properties, Inc.		14.36				21-MAR-2024		21-MAR-2033		UMH Properties, Inc.		75000.0				75000.0				D			
0000752642-24-000094	1670434	UMH Properties, Inc.		9.7				25-MAR-2021		25-MAR-2030		UMH Properties, Inc.		20000.0				20000.0				D			
0000752642-24-000094	1670430	UMH Properties, Inc.		15.66				26-MAR-2025		26-MAR-2034		UMH Properties, Inc.		50000.0				50000.0				D			
0000752642-24-000093	1669923	UMH Properties, Inc.		15.8				10-JAN-2025		10-JAN-2034		UMH Properties, Inc.		11000.0				11000.0				D			
0000752642-24-000093	1669924	UMH Properties, Inc.		14.36				21-MAR-2024		21-MAR-2033		UMH Properties, Inc.		10000.0				10000.0				D			
