ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001493152-24-030820	1666530	8% Senior Secured Convertible Promissory Note due 2026		0.15				01-AUG-2024		23-JAN-2026		Common Stock		16000000.0								I		See Footnote	F1
0000897069-24-001642	1666576	12% Convertible Note		0.76					F2	31-DEC-2025		Common Stock		2637826.0								D			
0000897069-24-001642	1666575	Warrant to Purchase Common Stock		1.0					F1	31-DEC-2025		Common Stock		1000000.0								D			
0000897069-24-001642	1666574	Warrant to Purchase Common Stock		1.5					F1	31-DEC-2025		Common Stock		500000.0								D			
0000950170-24-094127	1666547	Stock Option		21.0				02-OCT-2023		02-OCT-2033		Common Stock		1250.0								D			
0001062993-24-014671	1666571	Employee Stock Options-Right to Buy			F2				F2		F2	Common Stock		0.0	F2			123096.0				D			
0001062993-24-014670	1666564	Employee Stock Options-Right to Buy			F2				F2		F2	Common Stock		0.0	F2			84850.0				D			
0001739237-24-000002	1666558	Non-Qualified Stock Option (right to buy)		45.06				02-MAY-2019		02-MAY-2028		Common Stock		7500.0				7500.0				D			
0001739237-24-000002	1666559	Non-Qualified Stock Option (right to buy)		50.94				18-FEB-2021		18-FEB-2030		Common Stock		18400.0				18400.0				D			
0001739237-24-000002	1666561	Restricted Stock Unit		0.0				20-FEB-2025		20-FEB-2025		Common Stock		6973.0				6973.0				D			
0001739237-24-000002	1666562	Restricted Stock Unit		0.0				22-FEB-2023		22-FEB-2025		Common Stock		2134.0				2134.0				D			
0001739237-24-000002	1666563	Restricted Stock Unit		0.0				21-FEB-2024		21-FEB-2026		Common Stock		4660.0				4660.0				D			
0001739237-24-000002	1666560	Non-Qualified Stock Option (right to buy)		51.49				19-FEB-2020		19-FEB-2029		Common Stock		18100.0				18100.0				D			
0000950170-24-094041	1666557	Performance Units			F10				F10	01-MAR-2034		Common Stock		4395.0				4395.0				D			
0000950170-24-094041	1666556	Performance Units			F9				F9	01-MAR-2034		Common Stock		2197.0				2197.0				D			
0000950170-24-094041	1666555	Performance Units			F8				F8	01-MAR-2034		Common Stock		21978.0				21978.0				D			
0000950170-24-094041	1666554	Performance Units			F7				F7	01-MAR-2034		Common Stock		2660.0				2660.0				D			
0000950170-24-094041	1666553	Performance Units			F6				F6	24-FEB-2032		Common Stock		3920.0				3920.0				D			
0000950170-24-094041	1666552	Performance Units			F5				F5	28-FEB-2033		Common Stock		9141.0				9141.0				D			
0000950170-24-094041	1666551	Performance Units			F4				F4	28-FEB-2033		Common Stock		4113.0				4113.0				D			
0000950170-24-094041	1666550	Options (Right to Purchase)		65.26					F3	08-MAY-2030		Common Stock		14299.0				14299.0				D			
0000950170-24-094041	1666549	Options (Right to Purchase)		49.93					F3	20-MAR-2029		Common Stock		28626.0				28626.0				D			
0000950170-24-094041	1666548	Options (Right to Purchase)		22.0					F3	25-APR-2028		Common Stock		33424.0				33424.0				D			
0000950170-24-094001	1666565	Conditional Share Award	F1		F1				F2		F2	Common Stock		362.0								D		By spouse	
